Epoch 1/10 (10.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1539, Val_Loss: 0.8409, Time: 7090ms
Epoch 2/10 (20.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1539, Val_Loss: 0.8408, Time: 6531ms
Epoch 3/10 (30.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1542, Val_Loss: 0.8406, Time: 6363ms
Epoch 4/10 (40.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1541, Val_Loss: 0.8406, Time: 6417ms
Epoch 5/10 (50.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1540, Val_Loss: 0.8407, Time: 6363ms
Epoch 6/10 (60.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1541, Val_Loss: 0.8406, Time: 6312ms
Epoch 7/10 (70.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1542, Val_Loss: 0.8406, Time: 6547ms
Epoch 8/10 (80.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1545, Val_Loss: 0.8404, Time: 6500ms
Epoch 9/10 (90.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1545, Val_Loss: 0.8405, Time: 6341ms
Epoch 10/10 (100.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1544, Val_Loss: 0.8408, Time: 6192ms
