Epoch 46/100 (46.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92265ms
Epoch 47/100 (47.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 121663ms
Epoch 48/100 (48.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 92041ms
Epoch 49/100 (49.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 122154ms
Epoch 50/100 (50.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 91936ms
Epoch 51/100 (51.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 120834ms
Epoch 52/100 (52.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 91568ms
Epoch 53/100 (53.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 121101ms
Epoch 54/100 (54.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 91481ms
Epoch 55/100 (55.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 121264ms
Epoch 56/100 (56.0%) - Acc: 0.3457, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 91393ms
Epoch 57/100 (57.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 121104ms
Epoch 58/100 (58.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 92719ms
Epoch 59/100 (59.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 121637ms
Epoch 60/100 (60.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92555ms
Epoch 61/100 (61.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 121533ms
Epoch 62/100 (62.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 92056ms
Epoch 63/100 (63.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 121473ms
Epoch 64/100 (64.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92358ms
Epoch 65/100 (65.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 121730ms
Epoch 66/100 (66.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 92234ms
Epoch 67/100 (67.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 130754ms
Epoch 68/100 (68.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 96551ms
Epoch 69/100 (69.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 134105ms
Epoch 70/100 (70.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 93030ms
Epoch 71/100 (71.0%) - Acc: 0.3457, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 126251ms
Epoch 72/100 (72.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 98485ms
Epoch 73/100 (73.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 134908ms
Epoch 74/100 (74.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 95357ms
Epoch 75/100 (75.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 129197ms
Epoch 76/100 (76.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 95356ms
Epoch 77/100 (77.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 131108ms
Epoch 78/100 (78.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 97321ms
Epoch 79/100 (79.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 129052ms
Epoch 80/100 (80.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 96061ms
Epoch 81/100 (81.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 130760ms
Epoch 82/100 (82.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 96989ms
Epoch 83/100 (83.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 128298ms
Epoch 84/100 (84.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 97667ms
Epoch 85/100 (85.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 130221ms
Epoch 86/100 (86.0%) - Acc: 0.3457, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 97000ms
Epoch 87/100 (87.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 126552ms
Epoch 88/100 (88.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 100354ms
Epoch 89/100 (89.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 132653ms
